Name_of_LF,Parameter,Value,Unit,AssociateSG
LF_COLB_U1,BusType,PV,,Colbun_U1
,Voltage,14.2,kVRMSLL,
,P,100,MW,
,Qset,480,MVAR,
,Qmax,103.17,MVAR,
,Qmin,-67.26,MVAR,
LF_COLB_U2,BusType,PV,,Colbun_U2
,Voltage,14.2,kVRMSLL,
,P,100,MW,
,Qset,23.8,MVAR,
,Qmax,35.64,MVAR,
,Qmin,-33,MVAR,
LF_LGUINDOS_U1,BusType,PV,,LosGuindos_U1
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,111.3,MVAR,
,Qmin,-39.2,MVAR,
LF_LGUINDOS_U2,BusType,PV,,LosGuindos_U2
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,111.3,MVAR,
,Qmin,-39.2,MVAR,
LF_SMARI_U1,BusType,PV,,StaMaria_U1
,Voltage,18,kVRMSLL,
,P,200,MW,
,Qset,480,MVAR,
,Qmax,347.4163,MVAR,
,Qmin,-126.8238,MVAR,
LF_SFeE_U1_U1,BusType,PV,,SantaFeEnergia_U1
,Voltage,13.2,kVRMSLL,
,P,20,MW,
,Qset,480,MVAR,
,Qmax,73.5408,MVAR,
,Qmin,-24.5136,MVAR,
LF_SFe_U2,BusType,PV,,SantaFe_U3
,Voltage,13.793999999999998,kVRMSLL,
,P,20,MW,
,Qset,480,MVAR,
,Qmax,61.25,MVAR,
,Qmin,-61.25,MVAR,
LF_SFe_U2,BusType,PV,,SantaFe_U2
,Voltage,13.793999999999998,kVRMSLL,
,P,20,MW,
,Qset,480,MVAR,
,Qmax,61.25,MVAR,
,Qmin,-61.25,MVAR,
LF_PACIFIC_U1,BusType,PV,,Pacifico_U2
,Voltage,13.463999999999998,kVRMSLL,
,P,12,MW,
,Qset,480,MVAR,
,Qmax,27.24,MVAR,
,Qmin,-4.54,MVAR,
LF_PACIFIC_U1,BusType,PV,,Pacifico_U3
,Voltage,13.463999999999998,kVRMSLL,
,P,12,MW,
,Qset,480,MVAR,
,Qmax,27.24,MVAR,
,Qmin,-4.54,MVAR,
LF_PACIFIC_U1,BusType,PV,,Pacifico_U1
,Voltage,13.463999999999998,kVRMSLL,
,P,12,MW,
,Qset,480,MVAR,
,Qmax,27.24,MVAR,
,Qmin,-4.54,MVAR,
LF_TORO_U1,BusType,PV,,El_Toro_U1
,Voltage,13.524,kVRMSLL,
,P,59,MW,
,Qset,480,MVAR,
,Qmax,41.6,MVAR,
,Qmin,-56.1,MVAR,
LF_TORO_U3,BusType,PV,,El_Toro_U3
,Voltage,13.524,kVRMSLL,
,P,59,MW,
,Qset,480,MVAR,
,Qmax,41.6,MVAR,
,Qmin,-56.1,MVAR,
LF_TORO_U2,BusType,PV,,El_Toro_U2
,Voltage,13.524,kVRMSLL,
,P,59,MW,
,Qset,480,MVAR,
,Qmax,40.7,MVAR,
,Qmin,-58.5,MVAR,
LF_TORO_U4,BusType,PV,,El_Toro_U4
,Voltage,13.524,kVRMSLL,
,P,59,MW,
,Qset,480,MVAR,
,Qmax,40.7,MVAR,
,Qmin,-58.5,MVAR,
LF_NVENTA,BusType,PV,,Nueva_Ventanas
,Voltage,18.18,kVRMSLL,
,P,80,MW,
,Qset,480,MVAR,
,Qmax,163.909,MVAR,
,Qmin,-117.1879,MVAR,
LF_CAMPI,BusType,PV,,Campiche
,Voltage,18,kVRMSLL,
,P,270,MW,
,Qset,480,MVAR,
,Qmax,163.909,MVAR,
,Qmin,-117.1879,MVAR,
LF_VENTA_U1,BusType,PV,,Ventanas_U1
,Voltage,13.524,kVRMSLL,
,P,70,MW,
,Qset,480,MVAR,
,Qmax,67.1,MVAR,
,Qmin,-50.6,MVAR,
LF_VENTA_U2,BusType,PV,,Ventanas_U2
,Voltage,18,kVRMSLL,
,P,88,MW,
,Qset,480,MVAR,
,Qmax,118.4,MVAR,
,Qmin,-89.01,MVAR,
LF_CARDO_U1,BusType,PQ,,Cardones_U1
,Voltage,15.75,kVRMSLL,
,P,0,MW,
,Qset,0,MVAR,
,Qmax,45,MVAR,
,Qmin,-45.1,MVAR,
LF_TALT_U1,BusType,PV,,Taltal_U1
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,111.3,MVAR,
,Qmin,-39.2,MVAR,
LF_TALT_U2,BusType,PV,,Taltal_U2
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,104.8,MVAR,
,Qmin,-37.9,MVAR,
LF_SISIDRO_U1_TV,BusType,PV,,San_Isidro_U1_TV
,Voltage,15,kVRMSLL,
,P,110,MW,
,Qset,480,MVAR,
,Qmax,62.4,MVAR,
,Qmin,5.5,MVAR,
LF_CTTAR,BusType,PV,,CTTAR
,Voltage,13.8,kVRMSLL,
,P,80,MW,
,Qset,480,MVAR,
,Qmax,25,MVAR,
,Qmin,-25,MVAR,
LF_CTTAR,BusType,PV,,TGTAR
,Voltage,13.8,kVRMSLL,
,P,80,MW,
,Qset,480,MVAR,
,Qmax,25,MVAR,
,Qmin,-25,MVAR,
LF_Tocopilla_U14,BusType,PV,,Tocopilla_U14
,Voltage,13.524000000000001,kVRMSLL,
,P,122,MW,
,Qset,0,MVAR,
,Qmax,44.13,MVAR,
,Qmin,-25.02,MVAR,
LF_Tocopilla_U15,BusType,PV,,Tocopilla_U15
,Voltage,13.524000000000001,kVRMSLL,
,P,116,MW,
,Qset,0,MVAR,
,Qmax,44.13,MVAR,
,Qmin,-29.42,MVAR,
LF_Tocopilla_U16,BusType,PV,,Tocopilla_U16
,Voltage,20.58,kVRMSLL,
,P,190.2,MW,
,Qset,0,MVAR,
,Qmax,75,MVAR,
,Qmin,-50,MVAR,
LF_TOCOPI_U12,BusType,PV,,Tocopilla_U12
,Voltage,13.524000000000001,kVRMSLL,
,P,80,MW,
,Qset,0,MVAR,
,Qmax,27.6,MVAR,
,Qmin,-18.4,MVAR,
LF_TOCOPI_U13,BusType,PV,,Tocopilla_U13
,Voltage,13.524000000000001,kVRMSLL,
,P,80,MW,
,Qset,0,MVAR,
,Qmax,27.6,MVAR,
,Qmin,-18.4,MVAR,
LF_CCH_U1,BusType,PV,,CCH_U1
,Voltage,17.0,kVRMSLL,
,P,85,MW,
,Qset,0,MVAR,
,Qmax,184,MVAR,
,Qmin,-118,MVAR,
LF_CCH_U2,BusType,PV,,CCH_U2
,Voltage,17.0,kVRMSLL,
,P,85,MW,
,Qset,0,MVAR,
,Qmax,184,MVAR,
,Qmin,-118,MVAR,
LF_KELAR_TG1,BusType,PV,,Kelar_TG1
,Voltage,15,kVRMSLL,
,P,160,MW,
,Qset,0,MVAR,
,Qmax,181,MVAR,
,Qmin,-56.25,MVAR,
LF_KELAR_TG2,BusType,PV,,Kelar_TG2
,Voltage,15,kVRMSLL,
,P,160,MW,
,Qset,0,MVAR,
,Qmax,181,MVAR,
,Qmin,-56.25,MVAR,
LF_KELAR_TV,BusType,PV,,Kelar_TV
,Voltage,15,kVRMSLL,
,P,160,MW,
,Qset,0,MVAR,
,Qmax,111.864,MVAR,
,Qmin,-18,MVAR,
LF_TG1A,BusType,PV,,TG1A
,Voltage,15,kVRMSLL,
,P,95,MW,
,Qset,0,MVAR,
,Qmax,65,MVAR,
,Qmin,-30,MVAR,
LF_TG1B,BusType,PV,,TG1B
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,0,MVAR,
,Qmax,65,MVAR,
,Qmin,-30,MVAR,
LF_TV1C,BusType,PV,,TV1C
,Voltage,15,kVRMSLL,
,P,100,MW,
,Qset,0,MVAR,
,Qmax,65,MVAR,
,Qmin,-30,MVAR,
LF_TG2A,BusType,PV,,TG2A
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,0,MVAR,
,Qmax,65,MVAR,
,Qmin,-30,MVAR,
LF_TG2B,BusType,PV,,TG2B
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,0,MVAR,
,Qmax,65,MVAR,
,Qmin,-30,MVAR,
LF_TV2C,BusType,PV,,TV2C
,Voltage,15,kVRMSLL,
,P,100,MW,
,Qset,0,MVAR,
,Qmax,65,MVAR,
,Qmin,-30,MVAR,
LF_IEM,BusType,PV,,IEM
,Voltage,21,kVRMSLL,
,P,100,MW,
,Qset,0,MVAR,
,Qmax,331.5,MVAR,
,Qmin,-200,MVAR,
LF_CTM3_TG,BusType,PV,,CTM3_TG
,Voltage,15,kVRMSLL,
,P,100,MW,
,Qset,0,MVAR,
,Qmax,55.5,MVAR,
,Qmin,-37,MVAR,
LF_CTM3_TV,BusType,PV,,CTM3_TV
,Voltage,11.5,kVRMSLL,
,P,90,MW,
,Qset,0,MVAR,
,Qmax,33.3,MVAR,
,Qmin,-22.2,MVAR,
LF_SLIDIA_U1,BusType,PV,,StaLidia_U1
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,103,MVAR,
,Qmin,-37.6,MVAR,
LF_LPINOS_U1,BusType,PV,,LosPinos_U1
,Voltage,11.5,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,103,MVAR,
,Qmin,-37.6,MVAR,
LF_MAMP_U1,BusType,PQ,,Mampil_U1
,Voltage,13.524,kVRMSLL,
,P,20,MW,
,Qset,1,MVAR,
,Qmax,8,MVAR,
,Qmin,-6,MVAR,
LF_MAMP_U2,BusType,PV,,Mampil_U2
,Voltage,13.938,kVRMSLL,
,P,20,MW,
,Qset,480,MVAR,
,Qmax,8,MVAR,
,Qmin,-6,MVAR,
LF_RAPEL_U1,BusType,PV,,Rapel_U1
,Voltage,13.261800000000001,kVRMSLL,
,P,70,MW,
,Qset,480,MVAR,
,Qmax,18.6,MVAR,
,Qmin,-45.4,MVAR,
LF_RAPEL_U2,BusType,PV,,Rapel_U2
,Voltage,13.261800000000001,kVRMSLL,
,P,70,MW,
,Qset,480,MVAR,
,Qmax,18.6,MVAR,
,Qmin,-45.4,MVAR,
LF_RAPEL_U3,BusType,PV,,Rapel_U3
,Voltage,13.140400000000001,kVRMSLL,
,P,150,MW,
,Qset,480,MVAR,
,Qmax,93,MVAR,
,Qmin,-46.9,MVAR,
LF_RAPEL_U4,BusType,PV,,Rapel_U4
,Voltage,14.326,kVRMSLL,
,P,70,MW,
,Qset,480,MVAR,
,Qmax,29.7,MVAR,
,Qmin,-46,MVAR,
LF_RAPEL_U5,BusType,PV,,Rapel_U5
,Voltage,14.326,kVRMSLL,
,P,150,MW,
,Qset,480,MVAR,
,Qmax,94,MVAR,
,Qmin,-47,MVAR,
LF_PETPOWER_U1,BusType,PV,,Petropower_U1
,Voltage,11.27,kVRMSLL,
,P,21,MW,
,Qset,480,MVAR,
,Qmax,40,MVAR,
,Qmin,-15,MVAR,
LF_ANTILH_U1,BusType,PV,,Antilhue_U1
,Voltage,11.615,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,42,MVAR,
,Qmin,-19,MVAR,
LF_ANTILH_U2,BusType,PV,,Antilhue_U2
,Voltage,11.615,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,42,MVAR,
,Qmin,-19,MVAR,
LF_BOCA_II,BusType,PV,,Bocamina_II
,Voltage,18,kVRMSLL,
,P,350,MW,
,Qset,480,MVAR,
,Qmax,370,MVAR,
,Qmin,-195,MVAR,
LF_SISIDRO_U1_TG,BusType,PV,,San_Isidro_U1_TG
,Voltage,13.8,kVRMSLL,
,P,220,MW,
,Qset,480,MVAR,
,Qmax,149.4,MVAR,
,Qmin,-24.4,MVAR,
LF_SISIDRO_U1_TV,BusType,PV,,San_Isidro_U1_TV
,Voltage,15,kVRMSLL,
,P,110,MW,
,Qset,480,MVAR,
,Qmax,62.4,MVAR,
,Qmin,5.5,MVAR,
LF_SISIDRO_U2_TV,BusType,PV,,San_Isidro_U2_TV
,Voltage,13.2,kVRMSLL,
,P,138.55,MW,
,Qset,480,MVAR,
,Qmax,79,MVAR,
,Qmin,-51.5,MVAR,
LF_SISIDRO_U2_TG,BusType,PV,,San_Isidro_U2_TG
,Voltage,15,kVRMSLL,
,P,259.25,MW,
,Qset,480,MVAR,
,Qmax,130,MVAR,
,Qmin,-73.8,MVAR,
c_laja,BusType,PQ,,c_laja
,Voltage,11,kVRMSLL,
,P,4.2,MW,
,Qset,-5.8,MVAR,
,Qmax,17.2,MVAR,
,Qmin,-27.4,MVAR,
C_Maipo_PA,BusType,PQ,,C_Maipo_PA
,Voltage,11,kVRMSLL,
,P,3.0,MW,
,Qset,-3.5,MVAR,
,Qmax,47.52446,MVAR,
,Qmin,-54.17914,MVAR,
LF_GUACOLDA_U1_R,BusType,PV,,GUACOLDA_U1
,Voltage,13.261800000000001,kVRMSLL,
,P,150,MW,
,Qset,480,MVAR,
,Qmax,60,MVAR,
,Qmin,-17.4,MVAR,
LF_GUADOLDA_U2,BusType,PV,,GUADOLDA_U2
,Voltage,13.8,kVRMSLL,
,P,150,MW,
,Qset,-3,MVAR,
,Qmax,60,MVAR,
,Qmin,-17.4,MVAR,
LF_GUACOLDA_U3,BusType,PV,,GUACOLDA_U3
,Voltage,12.7,kVRMSLL,
,P,48,MW,
,Qset,-3,MVAR,
,Qmax,92.9,MVAR,
,Qmin,-46.9,MVAR,
LF_GUACOLDA_U4,BusType,PV,,GUACOLDA_U4
,Voltage,13.95,kVRMSLL,
,P,36,MW,
,Qset,480,MVAR,
,Qmax,94,MVAR,
,Qmin,-47,MVAR,
LF_GUACOLDA_U5,BusType,PV,,GUACOLDA_U5
,Voltage,13.8,kVRMSLL,
,P,36,MW,
,Qset,480,MVAR,
,Qmax,94,MVAR,
,Qmin,-47,MVAR,
LF_CANU_U1,BusType,PV,,Canutillar_U1
,Voltage,14.2,kVRMSLL,
,P,25,MW,
,Qset,480,MVAR,
,Qmax,10,MVAR,
,Qmin,-18,MVAR,
LF_CANU_U2,BusType,PV,,Canutillar_U2
,Voltage,14.2,kVRMSLL,
,P,25,MW,
,Qset,480,MVAR,
,Qmax,10,MVAR,
,Qmin,-18,MVAR,
Central_Rucatayo,BusType,PV,,Central_Rucatayo
,Voltage,13.62,kVRMSLL,
,P,31.9,MW,
,Qset,-3.33,MVAR,
,Qmax,17.6832,MVAR,
,Qmin,-17.6832,MVAR,
C_ANTILLANCA,BusType,PQ,,C_ANTILLANCA
,Voltage,13.8,kVRMSLL,
,P,32.5,MW,
,Qset,-4.6,MVAR,
,Qmax,25,MVAR,
,Qmin,-25,MVAR,
LF_VALD_U1,BusType,PV,,Valdivia_U1
,Voltage,16.1,kVRMSLL,
,P,42.4,MW,
,Qset,9.4,MVAR,
,Qmax,55,MVAR,
,Qmin,-21.8,MVAR,
LF_CARILAF,BusType,PQ,,C_CARILAF
,Voltage,13.8,kVRMSLL,
,P,15.5,MW,
,Qset,-4.5,MVAR,
,Qmax,17.2,MVAR,
,Qmin,-27.4,MVAR,
LF_PANG_U1,BusType,PV,,Pangue_U1
